lat_four,lng_four
51.50901,-0.2762
51.51579,-0.4234
51.5311,-0.231
51.7185,-1.9682
51.5119,-0.1481
51.5145,-0.0992
51.5145,-0.0992
50.9097,-1.4044
53.2066,-0.5963
51.5269,-0.1651
52.5044,1.2176
51.5112,-0.0823
51.3648,-0.303
51.4694,-0.0151
51.4987,-0.198
51.3125,0.887
52.9474,-1.0006
52.6309,1.2974
51.0928,-0.7009
51.643,-0.4947
51.2407,-0.2062
51.2407,-0.2062
51.5052,-0.1267
51.8994,-2.0783
53.4743,-2.2916
53.2591,-1.9148
51.5493,0.0127
51.5192,-0.079
53.4334,-2.8954
50.3755,-4.1427
51.5074,-0.1278
51.4455,-0.6679
51.6159,-0.133
52.5189,-1.7076
52.5189,-1.7076
51.465,-0.2939
53.3165,-2.2508
51.5138,-0.0984
50.7236,-3.52751
51.6067,-0.1864
50.2109,-5.2933
52.9548,-1.1581
51.51988,-0.09446
50.5111,-3.7546
51.8994,-2.0783
51.4552,-0.9616
51.4552,-0.9616
51.5185,-0.1099
50.7326,-1.9195
51.5143,-0.0748
51.51988,-0.09446
51.4975,-0.3849
51.51988,-0.09446
53.4732,-2.2443
50.7184,-3.5339
51.4671,-0.1385
51.0633,-1.3245
50.7236,-3.52751
50.7236,-3.52751
51.5413,-0.1369
51.5209,-0.1171
51.7294,-1.2012
51.4793,-0.1843
53.7934,-1.5577
51.7474,-0.4728
51.5075,-0.2129
51.547,-0.481
50.7184,-3.5339
50.7184,-3.5339
51.4441,-0.4108
53.8008,-1.5491
51.5013,-0.1248
51.6882,0.0127
51.4869,-0.17
51.7361,0.4726
51.7361,0.4729
52.2405,-0.9027
51.3077,-0.7575
51.4761,-0.1311
52.25,-0.88333
51.5144,-0.071
50.7236,-3.52751
51.5563,0.0655
51.4934,0.0098
52.0345,-0.7739
51.51279,-0.09184
51.5175,-0.1028
51.5124,-0.0938
54.0169,-1.5297
51.336,-0.2674
50.7423,-1.7567
51.5311,-0.0675
50.2145,-5.0938
50.7197,-3.534
53.5675,-0.0808
51.4817,-0.6136
51.7523,-0.4421
51.4722,-0.1655
50.7236,-3.52751
50.7236,-3.52751
50.7236,-3.52751
50.7236,-3.52751
51.5167,-0.1769
50.7734,0.2709
51.1565,-2.9841
53.96,-1.0873
51.5342,-0.4581
51.50853,-0.12574
50.7236,-3.52751
50.7236,-3.52751
50.6994,-3.1898
51.5132,-0.0885
51.4874,-2.7609
51.51988,-0.09446
51.4942,-0.1915
51.7615,-1.2698
51.4543,-0.9781
52.4172,-1.9679
53.7932,-1.5404
50.7236,-3.52751
50.7236,-3.52751
51.4962,-0.1348
53.6987,-1.507
51.4862,-0.1217
51.8156,-0.8084
53.5693,-1.7939
53.346,-2.1183
51.4919,-0.138
51.4183,-0.2206
51.1401,0.8455
51.4637,-0.1363
53.3856,-2.3498
52.7473,-1.478
50.90395,-1.40428
