,lat_four,lng_four,city,town,village,hamlet,state_district
0,51.509009999999996,-0.2762,London,,,,Greater London
1,51.51579,-0.4234,London,,,,Greater London
2,51.5311,-0.231,London,,,,Greater London
3,51.7185,-1.9682,Cotswold,,,,South West England
4,51.5119,-0.1481,London,,,,Greater London
5,51.5145,-0.0992,City of London,,,,Greater London
6,51.5145,-0.0992,City of London,,,,Greater London
7,50.9097,-1.4044,Southampton,,,,South East
8,53.2066,-0.5963,Lincoln,,,,East Midlands
9,51.5269,-0.1651,London,,,,Greater London
10,52.5044,1.2176,South Norfolk,,,,East of England
11,51.5112,-0.0823,City of London,,,,Greater London
12,51.3648,-0.303,London,,,,Greater London
13,51.4694,-0.0151,London,,,,Greater London
14,51.4987,-0.198,London,,,,Greater London
15,51.3125,0.887,Swale,,,,South East
16,52.9474,-1.0006,,Radcliffe on Trent,,,East Midlands
17,52.6309,1.2974,Norwich,,,,East of England
18,51.0928,-0.7009,,Haslemere,,,South East
19,51.643,-0.4947,Three Rivers,,,,East of England
20,51.2407,-0.2062,Reigate and Banstead,,,,South East
21,51.2407,-0.2062,Reigate and Banstead,,,,South East
22,51.5052,-0.1267,London,,,,Greater London
23,51.8994,-2.0783,,Cheltenham,,,South West England
24,53.4743,-2.2916,Salford,,,,North West England
25,53.2591,-1.9148,High Peak,,,,East Midlands
26,51.5493,0.0127,London,,,,Greater London
27,51.5192,-0.079,London,,,,Greater London
28,53.4334,-2.8954,Liverpool,,,,North West England
29,50.3755,-4.1427,Plymouth,,,,South West England
30,51.5074,-0.1278,London,,,,Greater London
31,51.4455,-0.6679,,,Cranbourne,,South East
32,51.6159,-0.133,London,,,,Greater London
33,52.5189,-1.7076,North Warwickshire,,,,West Midlands
34,52.5189,-1.7076,North Warwickshire,,,,West Midlands
35,51.465,-0.2939,London,,,,Greater London
36,53.3165,-2.2508,,,Chorley,,North West England
37,51.5138,-0.0984,City of London,,,,Greater London
38,50.7236,-3.52751,Exeter,,,,South West England
39,51.6067,-0.1864,London,,,,Greater London
40,50.2109,-5.2933,,Camborne,,,South West England
41,52.9548,-1.1581,City of Nottingham,,,,East Midlands
42,51.51988,-0.09446,City of London,,,,Greater London
43,50.5111,-3.7546,Teignbridge,,,,South West England
44,51.8994,-2.0783,,Cheltenham,,,South West England
45,51.4552,-0.9616,,Reading,,,South East
46,51.4552,-0.9616,,Reading,,,South East
47,51.5185,-0.1099,London,,,,Greater London
48,50.7326,-1.9195,,,Penn Hill,,South West England
49,51.5143,-0.0748,City of London,,,,Greater London
50,51.51988,-0.09446,City of London,,,,Greater London
51,51.4975,-0.3849,London,,,,Greater London
52,51.51988,-0.09446,City of London,,,,Greater London
53,53.4732,-2.2443,Manchester,,,,North West England
54,50.7184,-3.5339,Exeter,,,,South West England
55,51.4671,-0.1385,London,,,,Greater London
56,51.0633,-1.3245,Winchester,,,,South East
57,50.7236,-3.52751,Exeter,,,,South West England
58,50.7236,-3.52751,Exeter,,,,South West England
59,51.5413,-0.1369,London,,,,Greater London
60,51.5209,-0.1171,London,,,,Greater London
61,51.7294,-1.2012,Oxford,,,,South East
62,51.4793,-0.1843,London,,,,Greater London
63,53.7934,-1.5577,Leeds,,,,Yorkshire and the Humber
64,51.7474,-0.4728,Dacorum,,,,East of England
65,51.5075,-0.2129,London,,,,Greater London
66,51.547,-0.48100000000000004,London,,,,Greater London
67,50.7184,-3.5339,Exeter,,,,South West England
68,50.7184,-3.5339,Exeter,,,,South West England
69,51.4441,-0.4108,London,,,,Greater London
70,53.8008,-1.5491,Leeds,,,,Yorkshire and the Humber
71,51.5013,-0.1248,London,,,,Greater London
72,51.6882,0.0127,Epping Forest,,,,East of England
73,51.4869,-0.17,London,,,,Greater London
74,51.7361,0.4726,Chelmsford,,,,East of England
75,51.7361,0.4729,Chelmsford,,,,East of England
76,52.2405,-0.9027,,Northampton,,,East Midlands
77,51.3077,-0.7575,Rushmoor,,,,South East
78,51.4761,-0.1311,London,,,,Greater London
79,52.25,-0.88333,,Northampton,,,East Midlands
80,51.5144,-0.071,London,,,,Greater London
81,50.7236,-3.52751,Exeter,,,,South West England
82,51.5563,0.0655,London,,,,Greater London
83,51.4934,0.0098,London,,,,Greater London
84,52.0345,-0.7739,,Milton Keynes,,,South East
85,51.51279,-0.09183999999999999,City of London,,,,Greater London
86,51.5175,-0.1028,City of London,,,,Greater London
87,51.5124,-0.0938,City of London,,,,Greater London
88,54.0169,-1.5297,,Harrogate,,,Yorkshire and the Humber
89,51.336000000000006,-0.2674,Epsom and Ewell,,,,South East
90,50.7423,-1.7567,,Christchurch,,,South West England
91,51.5311,-0.0675,London,,,,Greater London
92,50.2145,-5.0938,,,Devoran,,South West England
93,50.7197,-3.534,Exeter,,,,South West England
94,53.5675,-0.0808,,Grimsby,,,Yorkshire and the Humber
95,51.4817,-0.6136,,Windsor,,,South East
96,51.7523,-0.4421,Dacorum,,,,East of England
97,51.4722,-0.1655,London,,,,Greater London
98,50.7236,-3.52751,Exeter,,,,South West England
99,50.7236,-3.52751,Exeter,,,,South West England
100,50.7236,-3.52751,Exeter,,,,South West England
101,50.7236,-3.52751,Exeter,,,,South West England
102,51.5167,-0.1769,London,,,,Greater London
103,50.7734,0.2709,,Eastbourne,,,South East
104,51.1565,-2.9841,Sedgemoor,,,,South West England
105,53.96,-1.0873,York,,,,Yorkshire and the Humber
106,51.5342,-0.4581,London,,,,Greater London
107,51.50853,-0.12574000000000002,London,,,,Greater London
108,50.7236,-3.52751,Exeter,,,,South West England
109,50.7236,-3.52751,Exeter,,,,South West England
110,50.6994,-3.1898,East Devon,,,,South West England
111,51.5132,-0.0885,City of London,,,,Greater London
112,51.4874,-2.7609,,Portishead,,,South West England
113,51.51988,-0.09446,City of London,,,,Greater London
114,51.4942,-0.1915,London,,,,Greater London
115,51.7615,-1.2698,Oxford,,,,South East
116,51.4543,-0.9781,,Reading,,,South East
117,52.4172,-1.9679,Birmingham,,,,West Midlands
118,53.7932,-1.5404,Leeds,,,,Yorkshire and the Humber
119,50.7236,-3.52751,Exeter,,,,South West England
120,50.7236,-3.52751,Exeter,,,,South West England
121,51.4962,-0.1348,London,,,,Greater London
122,53.6987,-1.507,Wakefield,,,,Yorkshire and the Humber
123,51.4862,-0.1217,London,,,,Greater London
124,51.8156,-0.8084,,Aylesbury,,,South East
125,53.5693,-1.7939,Kirklees,,,,Yorkshire and the Humber
126,53.346000000000004,-2.1183,,Poynton,,,North West England
127,51.4919,-0.138,London,,,,Greater London
128,51.4183,-0.2206,London,,,,Greater London
129,51.1401,0.8455,,Ashford,,,South East
130,51.4637,-0.1363,London,,,,Greater London
131,53.3856,-2.3498,Trafford,,,,North West England
132,52.7473,-1.4780000000000002,North West Leicestershire,,,,East Midlands
133,50.90395,-1.40428,Southampton,,,,South East
134,51.4624,-0.3693,London,,,,Greater London
135,51.5189,-0.1499,London,,,,Greater London
136,51.3596,1.4291,Thanet,,,,South East
137,51.0629,-0.3259,,Horsham,,,South East
138,51.5148,-0.0989,City of London,,,,Greater London
139,52.1598,-0.7018,,Olney,,,South East
140,51.5206,-0.084,London,,,,Greater London
141,53.5182,-2.2907,,Bury,,,North West England
142,51.1279,-3.0036,Sedgemoor,,,,South West England
143,51.3168,-0.56,,Woking,,,South East
144,53.4818,-2.2545,Salford,,,,North West England
145,51.4969,-0.2304,London,,,,Greater London
146,51.4504,-0.3302,London,,,,Greater London
147,51.5558,-1.7797,,Swindon,,,South West England
148,50.7236,-3.52751,Exeter,,,,South West England
149,51.51988,-0.09446,City of London,,,,Greater London
150,51.5206,-0.084,London,,,,Greater London
151,51.5148,-0.0989,City of London,,,,Greater London
152,51.5148,-0.0989,City of London,,,,Greater London
153,51.6286,-0.7482,Wycombe,,,,South East
154,51.6178,-0.1075,London,,,,Greater London
155,51.5443,-0.4637,London,,,,Greater London
156,52.9539,-1.1413,City of Nottingham,,,,East Midlands
157,51.7541,-0.3298,St Albans,,,,East of England
158,52.243,-0.8735,,Northampton,,,East Midlands
159,52.6413,1.3037,Norwich,,,,East of England
160,52.8415,-1.0332,,Bunny,,,East Midlands
161,51.0612,-1.3064,Winchester,,,,South East
162,51.5019,-0.2133,London,,,,Greater London
163,51.538999999999994,-0.1426,London,,,,Greater London
164,53.4909,-2.3221,Salford,,,,North West England
165,53.4909,-2.3221,Salford,,,,North West England
166,52.026,-0.6759,,,Bow Brickhill,,South East
167,51.51988,-0.09446,City of London,,,,Greater London
168,51.51988,-0.09446,City of London,,,,Greater London
